år,veckonummer,Region,Antal_fall_vecka,Kum_antal_fall,Antal_intensivvårdade_vecka,Kum_antal_intensivvårdade,Antal_avlidna_vecka,Kum_antal_avlidna,Antal_fall_100000inv_vecka,Kum_fall_100000inv
2021,24,Värmland,325,19822,3,120,1,214,115,7007
2021,25,Värmland,236,20058,3,123,1,215,83,7091
2021,26,Värmland,186,20244,0,123,0,215,66,7156
2021,27,Värmland,58,20302,2,125,0,215,21,7177
2021,28,Värmland,48,20350,2,127,0,215,17,7194
2021,29,Värmland,72,20422,1,128,0,215,25,7219
2021,30,Värmland,73,20495,0,128,0,215,26,7245
2021,31,Värmland,156,20651,1,129,1,216,55,7300
2021,32,Värmland,140,20791,1,130,1,217,49,7350
2021,33,Värmland,122,20913,0,130,0,217,43,7393
2021,34,Värmland,128,21041,0,130,0,217,45,7438
2021,35,Värmland,129,21170,0,130,1,218,46,7484
2021,36,Värmland,113,21283,0,130,2,220,40,7524
2021,37,Värmland,54,21337,1,131,1,221,19,7543
2021,38,Värmland,66,21403,0,131,1,222,23,7566
2021,39,Värmland,33,21436,2,133,0,222,12,7578
2020,1,Västerbotten,0,0,0,0,0,0,0,0
2020,2,Västerbotten,0,0,0,0,0,0,0,0
2020,3,Västerbotten,0,0,0,0,0,0,0,0
2020,4,Västerbotten,0,0,0,0,0,0,0,0
2020,5,Västerbotten,0,0,0,0,0,0,0,0
2020,6,Västerbotten,0,0,0,0,0,0,0,0
2020,7,Västerbotten,0,0,0,0,0,0,0,0
2020,8,Västerbotten,0,0,0,0,0,0,0,0
2020,9,Västerbotten,0,0,0,0,0,0,0,0
2020,10,Västerbotten,0,0,0,0,0,0,0,0
2020,11,Västerbotten,13,13,0,0,0,0,5,5
2020,12,Västerbotten,16,29,3,3,0,0,6,11
2020,13,Västerbotten,18,47,2,5,0,0,7,17
2020,14,Västerbotten,74,121,5,10,0,0,27,45
2020,15,Västerbotten,58,179,4,14,7,7,21,66
2020,16,Västerbotten,56,235,4,18,5,12,21,86
2020,17,Västerbotten,59,294,3,21,3,15,22,108
2020,18,Västerbotten,35,329,0,21,1,16,13,121
2020,19,Västerbotten,35,364,1,22,2,18,13,134
2020,20,Västerbotten,52,416,2,24,3,21,19,153
2020,21,Västerbotten,49,465,2,26,4,25,18,171
2020,22,Västerbotten,35,500,2,28,2,27,13,184
2020,23,Västerbotten,35,535,1,29,3,30,13,197
2020,24,Västerbotten,40,575,1,30,0,30,15,212
2020,25,Västerbotten,51,626,0,30,1,31,19,230
2020,26,Västerbotten,61,687,1,31,0,31,22,253
2020,27,Västerbotten,34,721,0,31,0,31,13,265
2020,28,Västerbotten,13,734,0,31,0,31,5,270
2020,29,Västerbotten,24,758,1,32,0,31,9,279
2020,30,Västerbotten,8,766,0,32,0,31,3,282
2020,31,Västerbotten,18,784,1,33,0,31,7,289
2020,32,Västerbotten,8,792,0,33,0,31,3,291
2020,33,Västerbotten,42,834,0,33,0,31,15,307
2020,34,Västerbotten,14,848,0,33,0,31,5,312
2020,35,Västerbotten,13,861,0,33,0,31,5,317
2020,36,Västerbotten,7,868,0,33,0,31,3,319
2020,37,Västerbotten,23,891,0,33,0,31,8,328
2020,38,Västerbotten,42,933,0,33,0,31,15,343
2020,39,Västerbotten,96,1029,0,33,0,31,35,379
2020,40,Västerbotten,54,1083,0,33,0,31,20,399
2020,41,Västerbotten,58,1141,0,33,0,31,21,420
2020,42,Västerbotten,50,1191,0,33,0,31,18,438
2020,43,Västerbotten,71,1262,0,33,0,31,26,464
2020,44,Västerbotten,250,1512,0,33,0,31,92,556
2020,45,Västerbotten,635,2147,0,33,1,32,234,790
2020,46,Västerbotten,686,2833,2,35,2,34,252,1043
2020,47,Västerbotten,762,3595,3,38,9,43,280,1323
2020,48,Västerbotten,896,4491,6,44,14,57,330,1653
2020,49,Västerbotten,808,5299,4,48,7,64,297,1950
2020,50,Västerbotten,986,6285,2,50,10,74,363,2313
2020,51,Västerbotten,935,7220,3,53,5,79,344,2657
2020,52,Västerbotten,646,7866,2,55,10,89,238,2895
2020,53,Västerbotten,742,8608,5,60,12,101,273,3168
2021,1,Västerbotten,662,9270,4,64,10,111,242,3393
2021,2,Västerbotten,396,9666,0,64,5,116,145,3538
2021,3,Västerbotten,389,10055,0,64,3,119,142,3681
2021,4,Västerbotten,437,10492,3,67,2,121,160,3841
2021,5,Västerbotten,796,11288,6,73,2,123,291,4132
2021,6,Västerbotten,1033,12321,3,76,7,130,378,4510
2021,7,Västerbotten,1269,13590,8,84,3,133,465,4975
2021,8,Västerbotten,1153,14743,6,90,10,143,422,5397
2021,9,Västerbotten,1063,15806,9,99,5,148,389,5786
2021,10,Västerbotten,784,16590,12,111,7,155,287,6073
2021,11,Västerbotten,792,17382,4,115,8,163,290,6363
2021,12,Västerbotten,625,18007,5,120,5,168,229,6591
2021,13,Västerbotten,467,18474,5,125,5,173,171,6762
2021,14,Västerbotten,647,19121,5,130,2,175,237,6999
2021,15,Västerbotten,665,19786,4,134,4,179,243,7243
2021,16,Västerbotten,654,20440,5,139,0,179,239,7482
2021,17,Västerbotten,688,21128,5,144,1,180,252,7734
2021,18,Västerbotten,681,21809,2,146,0,180,249,7983
2021,19,Västerbotten,522,22331,1,147,2,182,191,8174
2021,20,Västerbotten,441,22772,2,149,0,182,161,8336
2021,21,Västerbotten,234,23006,2,151,0,182,86,8421
2021,22,Västerbotten,181,23187,1,152,0,182,66,8487
2021,23,Västerbotten,113,23300,0,152,0,182,41,8529
2021,24,Västerbotten,60,23360,0,152,0,182,22,8551
2021,25,Västerbotten,41,23401,1,153,0,182,15,8566
2021,26,Västerbotten,52,23453,0,153,0,182,19,8585
2021,27,Västerbotten,29,23482,0,153,0,182,11,8595
2021,28,Västerbotten,27,23509,0,153,0,182,10,8605
2021,29,Västerbotten,47,23556,0,153,0,182,17,8623
2021,30,Västerbotten,43,23599,0,153,0,182,16,8638
2021,31,Västerbotten,245,23844,0,153,0,182,90,8728
2021,32,Västerbotten,295,24139,1,154,0,182,108,8836
2021,33,Västerbotten,202,24341,0,154,0,182,74,8910
2021,34,Västerbotten,153,24494,0,154,0,182,56,8966
2021,35,Västerbotten,114,24608,0,154,1,183,42,9008
2021,36,Västerbotten,196,24804,0,154,1,184,72,9079
2021,37,Västerbotten,243,25047,0,154,3,187,89,9168
2021,38,Västerbotten,286,25333,0,154,3,190,105,9273
2021,39,Västerbotten,254,25587,1,155,2,192,93,9366
2020,1,Västernorrland,0,0,0,0,0,0,0,0
2020,2,Västernorrland,0,0,0,0,0,0,0,0
2020,3,Västernorrland,0,0,0,0,0,0,0,0
2020,4,Västernorrland,0,0,0,0,0,0,0,0
2020,5,Västernorrland,0,0,0,0,0,0,0,0
2020,6,Västernorrland,0,0,0,0,0,0,0,0
2020,7,Västernorrland,0,0,0,0,0,0,0,0
2020,8,Västernorrland,0,0,0,0,0,0,0,0
2020,9,Västernorrland,0,0,0,0,0,0,0,0
2020,10,Västernorrland,0,0,0,0,0,0,0,0
2020,11,Västernorrland,11,11,0,0,0,0,4,4
2020,12,Västernorrland,3,14,1,1,0,0,1,6
2020,13,Västernorrland,22,36,2,3,0,0,9,15
2020,14,Västernorrland,33,69,4,7,5,5,13,28
2020,15,Västernorrland,36,105,5,12,8,13,15,43
2020,16,Västernorrland,34,139,3,15,10,23,14,57
2020,17,Västernorrland,67,206,6,21,12,35,27,84
2020,18,Västernorrland,67,273,3,24,10,45,27,111
2020,19,Västernorrland,77,350,4,28,12,57,31,143
2020,20,Västernorrland,98,448,3,31,9,66,40,183
2020,21,Västernorrland,143,591,5,36,13,79,58,241
2020,22,Västernorrland,135,726,3,39,7,86,55,296
2020,23,Västernorrland,154,880,2,41,6,92,63,359
2020,24,Västernorrland,118,998,3,44,7,99,48,407
2020,25,Västernorrland,154,1152,4,48,11,110,63,470
2020,26,Västernorrland,157,1309,2,50,4,114,64,534
2020,27,Västernorrland,162,1471,1,51,4,118,66,600
2020,28,Västernorrland,118,1589,0,51,7,125,48,648
2020,29,Västernorrland,70,1659,0,51,3,128,29,676
2020,30,Västernorrland,59,1718,0,51,3,131,24,700
2020,31,Västernorrland,37,1755,0,51,1,132,15,715
2020,32,Västernorrland,40,1795,0,51,0,132,16,732
2020,33,Västernorrland,21,1816,0,51,1,133,9,740
2020,34,Västernorrland,27,1843,0,51,1,134,11,751
2020,35,Västernorrland,10,1853,0,51,1,135,4,755
2020,36,Västernorrland,6,1859,0,51,1,136,2,758
2020,37,Västernorrland,16,1875,0,51,0,136,7,764
2020,38,Västernorrland,18,1893,0,51,0,136,7,772
2020,39,Västernorrland,25,1918,0,51,0,136,10,782
2020,40,Västernorrland,30,1948,0,51,0,136,12,794
2020,41,Västernorrland,38,1986,0,51,1,137,15,809
2020,42,Västernorrland,41,2027,0,51,0,137,17,826
2020,43,Västernorrland,56,2083,0,51,0,137,23,849
2020,44,Västernorrland,129,2212,1,52,1,138,53,902
2020,45,Västernorrland,332,2544,0,52,1,139,135,1037
2020,46,Västernorrland,589,3133,2,54,4,143,240,1277
2020,47,Västernorrland,906,4039,5,59,8,151,369,1646
2020,48,Västernorrland,1205,5244,3,62,10,161,491,2137
2020,49,Västernorrland,1175,6419,6,68,21,182,479,2616
2020,50,Västernorrland,1208,7627,8,76,28,210,492,3109
2020,51,Västernorrland,1300,8927,2,78,30,240,530,3639
2020,52,Västernorrland,821,9748,8,86,27,267,335,3973
2020,53,Västernorrland,1000,10748,5,91,28,295,408,4381
2021,1,Västernorrland,748,11496,5,96,16,311,306,4701
2021,2,Västernorrland,617,12113,4,100,20,331,252,4953
2021,3,Västernorrland,519,12632,2,102,22,353,212,5165
2021,4,Västernorrland,512,13144,5,107,23,376,209,5375
2021,5,Västernorrland,571,13715,4,111,10,386,233,5608
2021,6,Västernorrland,470,14185,1,112,13,399,192,5800
2021,7,Västernorrland,400,14585,2,114,5,404,164,5964
2021,8,Västernorrland,382,14967,4,118,4,408,156,6120
2021,9,Västernorrland,422,15389,3,121,7,415,173,6293
2021,10,Västernorrland,513,15902,0,121,5,420,210,6502
2021,11,Västernorrland,643,16545,6,127,2,422,263,6765
2021,12,Västernorrland,812,17357,4,131,3,425,332,7097
2021,13,Västernorrland,1045,18402,2,133,10,435,427,7525
2021,14,Västernorrland,1425,19827,6,139,4,439,583,8107
2021,15,Västernorrland,1570,21397,9,148,12,451,642,8749
2021,16,Västernorrland,1512,22909,3,151,4,455,618,9368
2021,17,Västernorrland,1255,24164,4,155,5,460,513,9881
2021,18,Västernorrland,1074,25238,7,162,3,463,439,10320
2021,19,Västernorrland,644,25882,9,171,0,463,263,10583
2021,20,Västernorrland,417,26299,3,174,2,465,171,10754
2021,21,Västernorrland,245,26544,1,175,4,469,100,10854
2021,22,Västernorrland,173,26717,0,175,3,472,71,10925
2021,23,Västernorrland,75,26792,2,177,2,474,31,10955
2021,24,Västernorrland,31,26823,0,177,0,474,13,10968
2021,25,Västernorrland,21,26844,0,177,2,476,9,10977
2021,26,Västernorrland,30,26874,0,177,1,477,12,10989
2021,27,Västernorrland,19,26893,0,177,0,477,8,10997
2021,28,Västernorrland,12,26905,0,177,0,477,5,11002
2021,29,Västernorrland,27,26932,0,177,0,477,11,11013
2021,30,Västernorrland,50,26982,0,177,0,477,20,11033
2021,31,Västernorrland,57,27039,0,177,1,478,23,11056
2021,32,Västernorrland,69,27108,0,177,0,478,28,11085
2021,33,Västernorrland,67,27175,0,177,0,478,27,11112
2021,34,Västernorrland,70,27245,1,178,0,478,29,11141
2021,35,Västernorrland,72,27317,0,178,0,478,29,11170
2021,36,Västernorrland,62,27379,1,179,0,478,25,11195
2021,37,Västernorrland,64,27443,0,179,0,478,26,11222
2021,38,Västernorrland,31,27474,0,179,0,478,13,11234
2021,39,Västernorrland,30,27504,0,179,0,478,12,11247
2020,1,Västmanland,0,0,0,0,0,0,0,0
2020,2,Västmanland,0,0,0,0,0,0,0,0
2020,3,Västmanland,0,0,0,0,0,0,0,0
2020,4,Västmanland,0,0,0,0,0,0,0,0
2020,5,Västmanland,0,0,0,0,0,0,0,0
2020,6,Västmanland,0,0,0,0,0,0,0,0
2020,7,Västmanland,0,0,0,0,0,0,0,0
2020,8,Västmanland,0,0,0,0,0,0,0,0
2020,9,Västmanland,0,0,0,0,0,0,0,0
2020,10,Västmanland,0,0,0,0,0,0,0,0
2020,11,Västmanland,5,5,0,0,0,0,2,2
2020,12,Västmanland,16,21,0,0,0,0,6,8
2020,13,Västmanland,29,50,10,10,2,2,11,18
2020,14,Västmanland,110,160,5,15,11,13,40,58
2020,15,Västmanland,190,350,5,20,19,32,69,127
2020,16,Västmanland,165,515,5,25,46,78,60,187
2020,17,Västmanland,171,686,7,32,18,96,62,249
2020,18,Västmanland,120,806,4,36,14,110,44,292
2020,19,Västmanland,83,889,3,39,13,123,30,322
2020,20,Västmanland,116,1005,2,41,10,133,42,364
2020,21,Västmanland,115,1120,1,42,7,140,42,406
2020,22,Västmanland,144,1264,2,44,8,148,52,458
2020,23,Västmanland,173,1437,5,49,6,154,63,521
2020,24,Västmanland,282,1719,1,50,6,160,102,623
2020,25,Västmanland,268,1987,0,50,7,167,97,720
2020,26,Västmanland,212,2199,1,51,4,171,77,797
2020,27,Västmanland,177,2376,2,53,4,175,64,861
2020,28,Västmanland,100,2476,0,53,3,178,36,898
2020,29,Västmanland,50,2526,0,53,1,179,18,916
2020,30,Västmanland,35,2561,2,55,1,180,13,928
2020,31,Västmanland,39,2600,0,55,1,181,14,943
2020,32,Västmanland,39,2639,0,55,2,183,14,957
2020,33,Västmanland,41,2680,0,55,0,183,15,972
2020,34,Västmanland,36,2716,0,55,0,183,13,985
2020,35,Västmanland,21,2737,0,55,0,183,8,992
2020,36,Västmanland,32,2769,0,55,0,183,12,1004
2020,37,Västmanland,50,2819,0,55,0,183,18,1022
2020,38,Västmanland,56,2875,0,55,0,183,20,1042
2020,39,Västmanland,199,3074,0,55,0,183,72,1114
2020,40,Västmanland,123,3197,2,57,0,183,45,1159
2020,41,Västmanland,116,3313,0,57,0,183,42,1201
2020,42,Västmanland,120,3433,0,57,1,184,44,1245
2020,43,Västmanland,180,3613,2,59,1,185,65,1310
2020,44,Västmanland,468,4081,2,61,1,186,170,1479
2020,45,Västmanland,831,4912,0,61,2,188,301,1781
2020,46,Västmanland,1086,5998,4,65,4,192,394,2174
2020,47,Västmanland,1263,7261,2,67,9,201,458,2632
2020,48,Västmanland,1336,8597,1,68,13,214,484,3117
2020,49,Västmanland,1331,9928,2,70,23,237,483,3599
2020,50,Västmanland,1285,11213,6,76,13,250,466,4065
2020,51,Västmanland,1163,12376,3,79,15,265,422,4487
2020,52,Västmanland,1030,13406,3,82,16,281,373,4860
2020,53,Västmanland,867,14273,2,84,8,289,314,5174
2021,1,Västmanland,1081,15354,1,85,9,298,390,5540
2021,2,Västmanland,572,15926,1,86,4,302,206,5747
2021,3,Västmanland,540,16466,2,88,6,308,195,5941
2021,4,Västmanland,417,16883,0,88,8,316,150,6092
2021,5,Västmanland,345,17228,0,88,3,319,124,6216
2021,6,Västmanland,341,17569,0,88,8,327,123,6339
2021,7,Västmanland,369,17938,2,90,0,327,133,6473
2021,8,Västmanland,351,18289,0,90,4,331,127,6599
2021,9,Västmanland,468,18757,2,92,1,332,169,6768
2021,10,Västmanland,550,19307,0,92,2,334,198,6966
2021,11,Västmanland,597,19904,2,94,3,337,215,7182
2021,12,Västmanland,764,20668,2,96,2,339,276,7458
2021,13,Västmanland,834,21502,2,98,0,339,301,7759
2021,14,Västmanland,923,22425,3,101,1,340,333,8092
2021,15,Västmanland,922,23347,2,103,2,342,333,8424
2021,16,Västmanland,823,24170,2,105,3,345,297,8721
2021,17,Västmanland,745,24915,2,107,1,346,269,8990
2021,18,Västmanland,1010,25925,5,112,0,346,364,9354
2021,19,Västmanland,646,26571,3,115,2,348,233,9588
2021,20,Västmanland,402,26973,0,115,1,349,145,9733
2021,21,Västmanland,222,27195,1,116,0,349,80,9813
2021,22,Västmanland,153,27348,1,117,1,350,55,9868
2021,23,Västmanland,128,27476,0,117,0,350,46,9914
2021,24,Västmanland,79,27555,0,117,0,350,29,9943
2021,25,Västmanland,51,27606,0,117,2,352,18,9961
2021,26,Västmanland,28,27634,0,117,1,353,10,9971
2021,27,Västmanland,19,27653,1,118,0,353,7,9978
2021,28,Västmanland,16,27669,0,118,0,353,6,9984
2021,29,Västmanland,27,27696,0,118,0,353,10,9993
2021,30,Västmanland,75,27771,0,118,0,353,27,10021
2021,31,Västmanland,156,27927,0,118,1,354,56,10077
2021,32,Västmanland,192,28119,0,118,0,354,69,10146
2021,33,Västmanland,212,28331,0,118,1,355,76,10223
2021,34,Västmanland,215,28546,1,119,2,357,78,10300
2021,35,Västmanland,243,28789,0,119,1,358,88,10388
2021,36,Västmanland,210,28999,1,120,1,359,76,10464
2021,37,Västmanland,195,29194,1,121,0,359,70,10534
2021,38,Västmanland,187,29381,0,121,0,359,67,10601
2021,39,Västmanland,236,29617,0,121,0,359,85,10687
2020,1,Västra Götaland,0,0,0,0,0,0,0,0
2020,2,Västra Götaland,0,0,0,0,0,0,0,0
2020,3,Västra Götaland,0,0,0,0,0,0,0,0
2020,4,Västra Götaland,0,0,0,0,0,0,0,0
2020,5,Västra Götaland,0,0,0,0,0,0,0,0
2020,6,Västra Götaland,0,0,0,0,0,0,0,0
2020,7,Västra Götaland,0,0,0,0,0,0,0,0
2020,8,Västra Götaland,0,0,0,0,0,0,0,0
2020,9,Västra Götaland,6,6,0,0,0,0,0,0
2020,10,Västra Götaland,24,30,1,1,0,0,1,2
2020,11,Västra Götaland,146,176,0,1,1,1,8,10
2020,12,Västra Götaland,78,254,13,14,2,3,5,15
2020,13,Västra Götaland,116,370,25,39,6,9,7,21
2020,14,Västra Götaland,240,610,24,63,28,37,14,35
2020,15,Västra Götaland,444,1054,41,104,43,80,26,61
2020,16,Västra Götaland,421,1475,30,134,71,151,24,85
2020,17,Västra Götaland,611,2086,50,184,65,216,35,121
2020,18,Västra Götaland,623,2709,41,225,77,293,36,157
2020,19,Västra Götaland,851,3560,37,262,102,395,49,206
2020,20,Västra Götaland,828,4388,27,289,75,470,48,254
2020,21,Västra Götaland,732,5120,20,309,75,545,42,297
2020,22,Västra Götaland,873,5993,27,336,54,599,51,347
2020,23,Västra Götaland,2140,8133,31,367,55,654,124,471
2020,24,Västra Götaland,2444,10577,16,383,50,704,142,613
2020,25,Västra Götaland,1828,12405,22,405,43,747,106,719
2020,26,Västra Götaland,1935,14340,12,417,28,775,112,831
2020,27,Västra Götaland,914,15254,9,426,15,790,53,884
2020,28,Västra Götaland,364,15618,6,432,23,813,21,905
2020,29,Västra Götaland,320,15938,2,434,20,833,19,923
2020,30,Västra Götaland,336,16274,3,437,6,839,19,943
2020,31,Västra Götaland,583,16857,3,440,3,842,34,977
2020,32,Västra Götaland,670,17527,2,442,1,843,39,1016
2020,33,Västra Götaland,580,18107,4,446,3,846,34,1049
2020,34,Västra Götaland,397,18504,2,448,5,851,23,1072
2020,35,Västra Götaland,233,18737,3,451,2,853,14,1086
2020,36,Västra Götaland,296,19033,1,452,2,855,17,1103
2020,37,Västra Götaland,300,19333,2,454,1,856,17,1120
2020,38,Västra Götaland,337,19670,2,456,2,858,20,1140
2020,39,Västra Götaland,489,20159,2,458,3,861,28,1168
2020,40,Västra Götaland,402,20561,2,460,4,865,23,1191
2020,41,Västra Götaland,537,21098,6,466,2,867,31,1222
2020,42,Västra Götaland,706,21804,4,470,1,868,41,1263
2020,43,Västra Götaland,1372,23176,4,474,5,873,79,1343
2020,44,Västra Götaland,2983,26159,13,487,11,884,173,1516
2020,45,Västra Götaland,4065,30224,24,511,24,908,236,1751
2020,46,Västra Götaland,4187,34411,16,527,31,939,243,1994
2020,47,Västra Götaland,4578,38989,25,552,44,983,265,2259
2020,48,Västra Götaland,4361,43350,24,576,64,1047,253,2512
2020,49,Västra Götaland,4468,47818,20,596,56,1103,259,2771
2020,50,Västra Götaland,6782,54600,21,617,69,1172,393,3164
2020,51,Västra Götaland,8221,62821,42,659,108,1280,476,3640
2020,52,Västra Götaland,6429,69250,42,701,127,1407,373,4012
2020,53,Västra Götaland,8192,77442,63,764,137,1544,475,4487
2021,1,Västra Götaland,6782,84224,30,794,146,1690,391,4856
2021,2,Västra Götaland,6002,90226,36,830,103,1793,346,5202
2021,3,Västra Götaland,4256,94482,30,860,92,1885,245,5447
2021,4,Västra Götaland,4155,98637,30,890,67,1952,240,5687
2021,5,Västra Götaland,4146,102783,25,915,67,2019,239,5926
2021,6,Västra Götaland,4720,107503,29,944,43,2062,272,6198
2021,7,Västra Götaland,4761,112264,27,971,36,2098,274,6473
2021,8,Västra Götaland,5940,118204,27,998,28,2126,342,6815
2021,9,Västra Götaland,4885,123089,25,1023,25,2151,282,7097
2021,10,Västra Götaland,5224,128313,25,1048,25,2176,301,7398
2021,11,Västra Götaland,6171,134484,20,1068,27,2203,356,7754
2021,12,Västra Götaland,7497,141981,34,1102,24,2227,432,8186
2021,13,Västra Götaland,6642,148623,45,1147,25,2252,383,8569
2021,14,Västra Götaland,6366,154989,40,1187,16,2268,367,8936
2021,15,Västra Götaland,6933,161922,38,1225,13,2281,400,9336
2021,16,Västra Götaland,5446,167368,27,1252,22,2303,314,9650
2021,17,Västra Götaland,5303,172671,25,1277,15,2318,306,9955
2021,18,Västra Götaland,5089,177760,24,1301,12,2330,293,10249
2021,19,Västra Götaland,4415,182175,19,1320,13,2343,255,10503
2021,20,Västra Götaland,3641,185816,18,1338,11,2354,210,10713
2021,21,Västra Götaland,1141,186957,10,1348,4,2358,66,10779
2021,22,Västra Götaland,1929,188886,3,1351,7,2365,111,10890
2021,23,Västra Götaland,612,189498,6,1357,8,2373,35,10926
2021,24,Västra Götaland,348,189846,0,1357,4,2377,20,10946
2021,25,Västra Götaland,234,190080,1,1358,0,2377,13,10959
2021,26,Västra Götaland,293,190373,1,1359,1,2378,17,10976
2021,27,Västra Götaland,250,190623,1,1360,0,2378,14,10990
2021,28,Västra Götaland,372,190995,3,1363,0,2378,21,11012
2021,29,Västra Götaland,444,191439,0,1363,0,2378,26,11037
2021,30,Västra Götaland,499,191938,1,1364,0,2378,29,11066
2021,31,Västra Götaland,579,192517,6,1370,0,2378,33,11100
2021,32,Västra Götaland,808,193325,9,1379,2,2380,47,11146
2021,33,Västra Götaland,1017,194342,5,1384,1,2381,59,11205
2021,34,Västra Götaland,1349,195691,8,1392,4,2385,78,11283
2021,35,Västra Götaland,1345,197036,14,1406,4,2389,78,11360
2021,36,Västra Götaland,1827,198863,5,1411,9,2398,105,11466
2021,37,Västra Götaland,1405,200268,3,1414,6,2404,81,11547
2021,38,Västra Götaland,776,201044,1,1415,7,2411,45,11591
2021,39,Västra Götaland,628,201672,4,1419,1,2412,36,11627
2020,1,Örebro,0,0,0,0,0,0,0,0
2020,2,Örebro,0,0,0,0,0,0,0,0
2020,3,Örebro,0,0,0,0,0,0,0,0
2020,4,Örebro,0,0,0,0,0,0,0,0
2020,5,Örebro,0,0,0,0,0,0,0,0
2020,6,Örebro,0,0,0,0,0,0,0,0
2020,7,Örebro,0,0,0,0,0,0,0,0
2020,8,Örebro,0,0,0,0,0,0,0,0
2020,9,Örebro,0,0,0,0,0,0,0,0
2020,10,Örebro,4,4,0,0,0,0,1,1
2020,11,Örebro,5,9,0,0,0,0,2,3
2020,12,Örebro,33,42,1,1,0,0,11,14
2020,13,Örebro,48,90,6,7,0,0,16,30
2020,14,Örebro,84,174,9,16,7,7,28,57
2020,15,Örebro,227,401,9,25,15,22,74,132
2020,16,Örebro,224,625,13,38,17,39,73,205
2020,17,Örebro,247,872,9,47,17,56,81,286
2020,18,Örebro,238,1110,12,59,16,72,78,364
2020,19,Örebro,218,1328,6,65,21,93,72,436
2020,20,Örebro,176,1504,2,67,15,108,58,493
2020,21,Örebro,172,1676,3,70,22,130,56,550
2020,22,Örebro,119,1795,1,71,10,140,39,589
2020,23,Örebro,180,1975,2,73,5,145,59,648
2020,24,Örebro,132,2107,5,78,8,153,43,691
2020,25,Örebro,118,2225,1,79,7,160,39,730
2020,26,Örebro,88,2313,0,79,6,166,29,759
2020,27,Örebro,66,2379,2,81,3,169,22,780
2020,28,Örebro,47,2426,0,81,1,170,15,796
2020,29,Örebro,28,2454,1,82,1,171,9,805
2020,30,Örebro,22,2476,0,82,0,171,7,812
2020,31,Örebro,40,2516,0,82,0,171,13,825
2020,32,Örebro,51,2567,1,83,0,171,17,842
2020,33,Örebro,45,2612,0,83,0,171,15,857
2020,34,Örebro,32,2644,0,83,0,171,10,867
2020,35,Örebro,13,2657,0,83,0,171,4,872
2020,36,Örebro,86,2743,0,83,0,171,28,900
2020,37,Örebro,75,2818,1,84,1,172,25,925
2020,38,Örebro,85,2903,0,84,0,172,28,952
2020,39,Örebro,59,2962,0,84,0,172,19,972
2020,40,Örebro,158,3120,0,84,0,172,52,1024
2020,41,Örebro,258,3378,0,84,0,172,85,1108
2020,42,Örebro,331,3709,0,84,0,172,109,1217
2020,43,Örebro,608,4317,1,85,1,173,199,1416
2020,44,Örebro,1000,5317,2,87,2,175,328,1744
2020,45,Örebro,1225,6542,2,89,3,178,402,2146
2020,46,Örebro,1221,7763,4,93,5,183,401,2547
2020,47,Örebro,1219,8982,6,99,6,189,400,2947
2020,48,Örebro,887,9869,4,103,5,194,291,3238
2020,49,Örebro,741,10610,1,104,10,204,243,3481
2020,50,Örebro,788,11398,5,109,5,209,259,3739
2020,51,Örebro,818,12216,1,110,7,216,268,4008
2020,52,Örebro,811,13027,3,113,8,224,266,4274
2020,53,Örebro,868,13895,7,120,9,233,285,4559
2021,1,Örebro,840,14735,4,124,6,239,275,4821
2021,2,Örebro,615,15350,4,128,13,252,201,5022
2021,3,Örebro,582,15932,2,130,14,266,190,5213
2021,4,Örebro,424,16356,4,134,16,282,139,5351
2021,5,Örebro,377,16733,0,134,2,284,123,5475
2021,6,Örebro,388,17121,3,137,4,288,127,5602
2021,7,Örebro,439,17560,0,137,3,291,144,5745
2021,8,Örebro,567,18127,1,138,3,294,186,5931
2021,9,Örebro,737,18864,3,141,1,295,241,6172
2021,10,Örebro,695,19559,4,145,3,298,227,6399
2021,11,Örebro,886,20445,7,152,4,302,290,6689
2021,12,Örebro,1206,21651,7,159,2,304,395,7084
2021,13,Örebro,1547,23198,11,170,6,310,506,7590
2021,14,Örebro,1693,24891,13,183,6,316,554,8144
2021,15,Örebro,1462,26353,14,197,4,320,478,8622
2021,16,Örebro,1222,27575,7,204,5,325,400,9022
2021,17,Örebro,1199,28774,8,212,2,327,392,9414
2021,18,Örebro,1080,29854,3,215,2,329,353,9768
2021,19,Örebro,954,30808,4,219,5,334,312,10080
2021,20,Örebro,641,31449,1,220,5,339,210,10289
2021,21,Örebro,300,31749,2,222,3,342,98,10388
2021,22,Örebro,180,31929,1,223,0,342,59,10447
2021,23,Örebro,109,32038,0,223,0,342,36,10482
2021,24,Örebro,42,32080,0,223,0,342,14,10496
2021,25,Örebro,41,32121,0,223,0,342,13,10509
2021,26,Örebro,59,32180,0,223,0,342,19,10529
2021,27,Örebro,36,32216,0,223,0,342,12,10540
2021,28,Örebro,23,32239,1,224,0,342,8,10548
2021,29,Örebro,41,32280,0,224,0,342,13,10561
2021,30,Örebro,66,32346,0,224,0,342,22,10583
2021,31,Örebro,81,32427,0,224,0,342,27,10609
2021,32,Örebro,148,32575,2,226,0,342,48,10658
2021,33,Örebro,176,32751,1,227,0,342,58,10715
2021,34,Örebro,181,32932,1,228,0,342,59,10775
2021,35,Örebro,179,33111,1,229,1,343,59,10833
2021,36,Örebro,302,33413,0,229,3,346,99,10932
2021,37,Örebro,188,33601,1,230,1,347,62,10994
2021,38,Örebro,142,33743,0,230,4,351,46,11040
